id,username,tweet,date,retweets
1265297399754272768,sashazreen_,"Betula depressed ni boleh buat manusia tu berubah , ttbe cenderung nak free hair ttbe rasa nak sap kok semua la ttbe . Fak im scared of myself ",2020-05-26 15:03:02+00:00,0
1265297388811382784,isgeecuteornot,"One couldn’t stand the feeling of being home. Being pressured by the family problems. Financial problem, family relations prob., depressed mom, dad not providing enough.",2020-05-26 15:03:00+00:00,0
1265297383946178562,VateKate,i wish it work for me bcoz birth control made me depressed and get my period 6 times in one month i love being a woman ,2020-05-26 15:02:59+00:00,0
1265297368645341186,PeanutGallery33,"its not funny, its cruel and misguided. a woman is killing herself actively with food and anyone is seriously gonna question if she is depressed or not? on program is a cruel hypocrite.",2020-05-26 15:02:55+00:00,0
1265297353554169859,Kater_Tot97,"i was anemic, clinically depressed, and hated my body for what it was doing to me. i need my birth control to live a fulfilling life.",2020-05-26 15:02:51+00:00,0
1265297338513461251,KingofSaigon3,no we’re just called depressed,2020-05-26 15:02:48+00:00,0
1265297331043401728,SloyanOr,I know my problem is not knee related but he looks s depressed. I end carrying him everywhere. Could this be doing him harm? He used to really love life. What can I do to make him rest more.,2020-05-26 15:02:46+00:00,0
1265297322000502788,WashedMo3,"Some kid named Kyler, age 15, just hit on the chunky dunky release. He only wore aeropostal and Air Force 1s. He just put in his bio “ Sneaker head & Entrepreneur ” and here we are sitting in front of our computer depressed.",2020-05-26 15:02:44+00:00,1
1265297308427735042,CookieOfAvocado,NONONO AA,2020-05-26 15:02:41+00:00,0
1265297307542540289,innocent_BaBu18,"Aapki judai ne hamein shayari sikha di, Judai ke gam ne hamein manzil bhula di, Chahte to nehin thaey aapse juda hona para Kya karein agar hamein apno ne hi peeth dikha di….. ",2020-05-26 15:02:40+00:00,1
1265297299267358723,AmigoJuj,depressed,2020-05-26 15:02:38+00:00,0
1265297274378354688,_SisterinDeen_,I know I’m just depressed leave me alone,2020-05-26 15:02:32+00:00,0
1265297272960684033,DEPRESSEDDlARY,"Yupp missing you, even checking if you deleted me or not, but you havent. Tinder is not helping me forget you..",2020-05-26 15:02:32+00:00,0
1265297246616203264,51_yogi,How am I gonna make redsox fans mad on hubbs page,2020-05-26 15:02:26+00:00,0
1265297240236662786,kerebbie,sometimes I have to remember that wanting to be alone doesn't make me depressed it just makes me an introvert,2020-05-26 15:02:24+00:00,0
1265297218837245954,renetaes,SEULRENE DROPPED THOSE TEASERS TO MAKE THIS DEPRESSED BITCH HAPPY THANK YOU SEULRENE THANK YOU,2020-05-26 15:02:19+00:00,2
1265297210624835586,seth_sanchez01,"I’m supposed to be walking the stage today, Instead I’m walking my depressed ass to work",2020-05-26 15:02:17+00:00,0
1265297201493872643,DepressedTrans1,That is correct,2020-05-26 15:02:15+00:00,0
1265297179792609280,SilentRunning61,"The truly SICKENING for me, with this oh so obvious, planned for decades ""virus"". Is how many ppl have bought it, and it couldn't be any more obvious. Beyond belief. But no! It proves to me that folk don't think beyond the tramlines they're told to. It has depressed me so much.",2020-05-26 15:02:10+00:00,1
1265297167155159043,PUSS1E,don't be depressed you're so sexy,2020-05-26 15:02:07+00:00,0
1265297148981190656,EltonFtchASpade,My favourite part about this is the fact there's actually three Doctor Whos on this cover and I'm simultaneously impressed and depressed by the fact I noticed that first before anything else. #OutOfTime #DoctorWho,2020-05-26 15:02:03+00:00,0
1265297144350756864,http_rizzi,"queria tanto saber ser aquelas princesinha fofinha,mano depois que eu pego intimidade já era KKKJJJJKJK pareço macho conversando credo",2020-05-26 15:02:01+00:00,0
1265297131524567040,arghheeba,There IS a word for that. Depressed ,2020-05-26 15:01:58+00:00,0
1265297120812322817,RuudGit,"It really has astonished and depressed me to discover that so many people on here seem to genuinely believe the following: that when the media expose a hypocrite, the moral failing is with the media, rather than with the hypocrite.",2020-05-26 15:01:56+00:00,0
1265297116689285120,sam38483,"Drug gangs & Human traffickers don't want people to go back to work because they are making a fortune selling to people who are depressed about losing their jobs. Poor people are the most hurt by this lock down. News flash, poor people come in a variety of colors!",2020-05-26 15:01:55+00:00,0
1265297109659590657,martin90202931, don't be depressed bro ,2020-05-26 15:01:53+00:00,0
1265297096086675458,SmolYoon93,Hehehe msh bagus itu jgn sampe depressed nya tinggi jg ,2020-05-26 15:01:50+00:00,0
1265297069847334913,catnapify,Is reformation sustainable? I got a little bit depressed after writing this article. http://ow.ly/OYhx50zMI9a,2020-05-26 15:01:44+00:00,0
1265297045214171136,ElbaKapllani,"I didn’t mean depressed as if I diagnosed him with depression. I meant he looked very down, and not happy. Depressed is not used only for clinically diagnosing someone. It can also describe a current state so jot just a clinical state. Don’t look beyond what I tried to say.",2020-05-26 15:01:38+00:00,0
1265297034375913473,voorheezy_,"Ever since I got off this ship I’ve been feeling less and less depressed, &amp; I’m fuccing loving it",2020-05-26 15:01:35+00:00,0
1265297024850759680,CookieOfAvocado,AAAA JEONGYEON LPM,2020-05-26 15:01:33+00:00,0
1265297014004183041,WASTEDMEDlCINE,"hi guys if you have depression, according to my parents that means you’re brain just is that way and you have to learn to deal with it’ and that unless you’re 25/8 sad you ‘don’t look depressed’ so hows your night going, mines fucking great ",2020-05-26 15:01:30+00:00,0
1265297002180620289,t_quello,Those birth control pills had me depressed lmao. This is my first time off of them since I was 12. Who knew my body could produce that??,2020-05-26 15:01:28+00:00,0
1265296986959298560,Originalmugwug,"Got it. Rodney, you’re the best. Appreciate the time. I’ve been in despair, hopeless, angry, depressed. Given up. I’ll do what I can to help. But I want a third party with power. I’m a skeptic but ...",2020-05-26 15:01:24+00:00,0
1265296978344361984,mieschaa,"Idk much bout depression but do depressed people have hobbies or interests to feel more alive? Like music, anime, game, drama etc. Some people on Internet saying they are depressed and with these interests they feel ""better"". Is it true they do have interests?",2020-05-26 15:01:22+00:00,0
1265296937940512769,xaiz3nx,she depressed let her have it,2020-05-26 15:01:12+00:00,0
1265296936275456005,HeWannaKissMe,"She knows when I retreat or go silent, I get depressed... Not this time. ",2020-05-26 15:01:12+00:00,0
1265296934882795520,thesinisterbear,"No matter how much I fancy you, if you say no and/or disappoint me even once, you go bye",2020-05-26 15:01:12+00:00,0
1265296922622996480,93kcals,i am CONSTANTLY tossing and turning between “life is to short to be depressed and anxious” and just pure anxiety all the time,2020-05-26 15:01:09+00:00,0
1265296897318834176,glosschimmy,I literally dreamt I went to their concert and I woke up depressed af,2020-05-26 15:01:03+00:00,0
1265296889089536002,greenmiranda,"now just depressed by it all, though I stand by every word",2020-05-26 15:01:01+00:00,0
1265296884177854464,rwlyjy,Owemge Kongpob is such a strong guy huhu wa juy ni console niya in such a depressed situation kay e keep ra man sad niya iyang na feel gd and just like me ing ana sad ko usahay that's why d sd ko mo chika sa uban ako nalng e luom kay feel nko ako ray makasabots akong gibati ify ,2020-05-26 15:00:59+00:00,0
1265296870924001285,OfLoveee,i bought a scale now i’m extra depressed :),2020-05-26 15:00:56+00:00,0
1265296804842737664,SujeetS00485456,We have Thousand different reasons to feel worried and depressed but @SonuSood is one strong light who is lighting up the life of so many people and proving that not everyone cares about what caste you are from before helping anyone......#SonuSoodTheRealHero,2020-05-26 15:00:41+00:00,0
1265296796500271104,conorbuckleyx,He looks depressed to me,2020-05-26 15:00:39+00:00,0
1265296793786445826,Depress_Life_,"They called me quiet, now they hear my voice everywhere. I will no longer be quiet..",2020-05-26 15:00:38+00:00,0
1265296761893130241,fat2fitgal,I’ve been bullied. Ive been overweight. I’ve been clinically depressed. I’ve fought and fought hard and I have come out on the other side. Please read my blog https://www.jessicagerlock.com/post/from-fat-to-fit-a-girl-s-positive-mindset #TransformationTuesday #FiveFootStrong @andylassner @MeghanMcCain @chrissyteigen,2020-05-26 15:00:30+00:00,0
1265296761683353602,ShanToriaAliya,I’m likeeeeee...... is people that depressed because they gotta stay in the house I would love to see some of them on house arrest,2020-05-26 15:00:30+00:00,0
1265296686324355072,_soobink,i woke up and the tl is depressed and honestly... i wish we can all give each other a hug,2020-05-26 15:00:12+00:00,0
1265296683841224704,memessss28,Then she explodes,2020-05-26 15:00:12+00:00,9
1265296672495742979,GGzobrero,Morning Bri ,2020-05-26 15:00:09+00:00,0
1265296668058021888,Siscoo__,"If you are depressed, you are living in the past. If you are anxious, you are living in the future. If you are at peace, you are living in the present.",2020-05-26 15:00:08+00:00,0
1265296647199703042,krfsxx,"we're never alone, but always depressed",2020-05-26 15:00:03+00:00,0
1265296630485524480,TheWallinmyHead,My mom got a new food processor and this shot fancyyyyyyy. It's got a juicer and a citrus press attachment. It comes with a dough hook and whisks and a box to stare all the extra items and blades. Ohhh that shit be hittin different.,2020-05-26 14:59:59+00:00,0
1265296617948819457,PepeFainal,@Harux_ yo creo que la cagué XD,2020-05-26 14:59:56+00:00,0
1265296610793345024,GGzobrero,I just woke up,2020-05-26 14:59:54+00:00,0
1265296608897503232,SpaceIVAll,I'd rather spend my evenings lying depressed on my bed and eat noodles than try to look like this to be more desirable to people I don't like or care about.,2020-05-26 14:59:54+00:00,0
1265296591495315457,depresss_sssed,КОРОЧЕ Я УДАЛЯЮ ТВИТТЕР ПРИЯТНО БЫЛО ИМЕТЬ С ВАМИ ДЕЛО ВСЕМ ПАКА ВСЕМ ПАКА ВСЕМ ПАКА. ,2020-05-26 14:59:50+00:00,0
1265296589741940737,pH_ingz,"Modern loneliness We're never alone, but always depressed, ",2020-05-26 14:59:49+00:00,0
1265296581693255680,karlieawest,The weather gets nice and I get depressed? What kind of ass backwards nonsense is this?!,2020-05-26 14:59:47+00:00,0
1265296580648808454,ricacnm,Yok ;)),2020-05-26 14:59:47+00:00,0
1265296572994240512,_CHOC0lAtE_,Feeling depressed ,2020-05-26 14:59:45+00:00,0
1265296572776017926,junkyunology,TAE NAKAKA DEPRESSED MGA GINAWA KO DATI POTEC HAHAHAHAHA SELF BAT MO GINAWA YUN HAHAHA,2020-05-26 14:59:45+00:00,0
1265296562759991296,fxmixnix_,Samee literally this is not the right time to be depressed :((,2020-05-26 14:59:43+00:00,0
1265296561531236352,fags80921027,صارلي سنه اكلمهم ولا احد يرد,2020-05-26 14:59:42+00:00,0
1265296555063607296,ricacnm,Awwww hahahah ,2020-05-26 14:59:41+00:00,0
1265296551859101697,sneakydookie,when i was there ilovemakonnen,2020-05-26 14:59:40+00:00,0
1265296551582339080,zaz_sufi3006,okay so how does what you said correlate to indigneous population representation? loool,2020-05-26 14:59:40+00:00,0
1265296530090721281,TimoWijk,He is depressed,2020-05-26 14:59:35+00:00,0
1265296522520006658,hoopabot,i've been depressed since pika called me a theymer,2020-05-26 14:59:33+00:00,0
1265296521429385217,GrannMierda,I be more depressed about clothes dropping than shoes,2020-05-26 14:59:33+00:00,0
1265296516371136512,ricacnm,Hahahshsj <33,2020-05-26 14:59:32+00:00,0
1265296509181915137,whatsthebeef2,GOOD OKAY AT LEADT YOURE NOT DEPRESSED,2020-05-26 14:59:30+00:00,0
1265296503368712192,fags80921027,,2020-05-26 14:59:29+00:00,0
1265296497115115522,solarbangs,thinking about the time in 3rd grade i won the optimism award and now i’m depressed ,2020-05-26 14:59:27+00:00,0
1265296455368990720,justincartujano,this quarantine made everyone anxious and depressed please stay safe and sane everyone,2020-05-26 14:59:17+00:00,0
1265296453347540992,Emilayyy__,I’ve never met a person who doesn’t believe in any type of God that isn’t depressed,2020-05-26 14:59:17+00:00,0
1265296437132263426,ShirtOnABlueMan,"It tells us a lot about the state of their pandemic, but nothing about whether someone from Spain should be let into the UK. I think that numbers will be low enough in July for it to be safe; but the Rt isn't a factor in that, except that it will have depressed those numbers.",2020-05-26 14:59:13+00:00,0
1265296435206995973,kqphamm,I’m so depressed I paid so much for school and they just told us that we’re probably going to do Zoom for about a year since campus isn’t opening,2020-05-26 14:59:12+00:00,0
1265296408510259200,depressed_asu,すぐ膿んでしまうからいやだな ありがとう...,2020-05-26 14:59:06+00:00,0
1265296406471946240,ricacnm,Keşke yapışsan ,2020-05-26 14:59:06+00:00,0
